abr,country,continent,wv_1,wv_2,wv_3,wv_4,wv_5,wv_6,wv_7
CAN,Canada,North America,0,0,0,1,1,0,1
IDN,Indonesia,Asia,0,0,0,1,1,0,1
CHN,China,Asia,0,1,1,1,1,1,1
GBR,United Kingdom,Europe,0,0,1,0,1,0,1
USA,United States,North America,0,0,1,1,1,1,1
TUR,Turkey,Asia,0,1,1,1,1,1,1
NLD,Netherlands,Europe,0,0,0,0,1,1,1
HKG,Hong Kong,Asia,0,0,0,0,1,1,1
BOL,Bolivia,South America,0,0,0,0,0,0,1
SGP,Singapore,Asia,0,0,0,1,0,1,1
PAK,Pakistan,Asia,0,0,1,1,0,1,1
AUS,Australia,Oceania,1,0,1,0,1,1,1
RUS,Russia,Europe,0,1,1,0,1,1,1
BRA,Brazil,South America,0,1,1,0,1,1,1
MEX,Mexico,North America,1,1,1,1,1,1,1
IND,India,Asia,0,1,1,1,1,1,1
MNG,Mongolia,Asia,0,0,0,0,0,0,1
DEU,Germany,Europe,0,0,1,0,1,1,1
COL,Colombia,South America,0,0,1,0,1,1,1
THA,Thailand,Asia,0,0,0,0,1,1,1
IRN,Iran,Asia,0,0,0,1,1,0,1
PER,Peru,South America,0,0,1,1,1,1,1
JPN,Japan,Asia,1,1,1,1,1,1,1
MYS,Malaysia,Asia,0,0,0,0,1,1,1
UKR,Ukraine,Europe,0,0,1,0,1,1,1
KAZ,Kazakhstan,Asia,0,0,0,0,0,1,1
KEN,Kenya,Africa,0,0,0,0,0,0,1
ROU,Romania,Europe,0,0,1,0,1,1,1
UZB,Uzbekistan,Asia,0,0,0,0,0,1,1
KOR,South Korea,Asia,1,1,1,1,1,1,1
NGA,Nigeria,Africa,0,1,1,1,0,1,1
ETH,Ethiopia,Africa,0,0,0,0,1,0,1
GTM,Guatemala,North America,0,0,0,0,1,0,1
ARM,Armenia,Asia,0,0,1,0,0,1,1
TWN,Taiwan,Asia,0,0,1,0,1,1,1
ZWE,Zimbabwe,Africa,0,0,0,1,0,1,1
TUN,Tunisia,Africa,0,0,0,0,0,1,1
JOR,Jordan,Asia,0,0,0,1,1,1,1
PHL,Philippines,Asia,0,0,1,1,0,1,1
MMR,Myanmar,Asia,0,0,0,0,0,0,1
BGD,Bangladesh,Asia,0,0,1,1,0,0,1
TJK,Tajikistan,Asia,0,0,0,0,0,0,1
VNM,Vietnam,Asia,0,0,0,1,1,0,1
SVK,Slovakia,Europe,0,1,1,0,0,0,1
CZE,Czech Republic,Europe,0,1,1,0,0,0,1
ECU,Ecuador,South America,0,0,0,0,0,1,1
KGZ,Kyrgyzstan,Asia,0,0,0,1,0,1,1
EGY,Egypt,Africa,0,0,0,1,1,1,1
GRC,Greece,Europe,0,0,0,0,0,0,1
IRQ,Iraq,Asia,0,0,0,1,1,1,1
NIC,Nicaragua,North America,0,0,0,0,0,0,1
LBN,Lebanon,Asia,0,0,0,0,0,1,1
MAR,Morocco,Africa,0,0,0,1,1,1,1
LBY,Libya,Africa,0,0,0,0,0,1,1
VEN,Venezuela,South America,0,0,1,1,0,0,1
PRI,Puerto Rico,North America,0,0,1,1,0,0,1
NZL,New Zealand,Oceania,0,0,1,0,1,1,1
SRB,Serbia,Europe,0,0,1,1,1,0,1
MDV,Maldives,Asia,0,0,0,0,0,0,1
MAC,Macao,Asia,0,0,0,0,0,0,1
AND,Andorra,Europe,0,0,0,0,1,0,1
ARG,Argentina,South America,1,1,1,1,1,1,1
URY,Uruguay,South America,0,0,1,0,1,1,1
CYP,Cyprus,Europe,0,0,0,0,1,1,1
CHL,Chile,South America,0,1,1,1,1,1,1
NIR,Northern Ireland,Europe,0,0,0,0,0,0,1
HTI,Haiti,North America,0,0,0,0,0,1,0
DZA,Algeria,Africa,0,0,0,1,0,1,0
TTO,Trinidad and Tobago,North America,0,0,0,0,1,1,0
KWT,Kuwait,Asia,0,0,0,0,0,1,0
AZE,Azerbaijan,Asia,0,0,1,0,0,1,0
SVN,Slovenia,Europe,0,0,1,0,1,1,0
BLR,Belarus,Europe,0,1,1,0,0,1,0
ZAF,South Africa,Africa,1,1,1,1,1,1,0
EST,Estonia,Europe,0,0,1,0,0,1,0
YEM,Yemen,Asia,0,0,0,0,0,1,0
GEO,Georgia,Asia,0,0,1,0,1,1,0
SWE,Sweden,Europe,0,0,1,1,1,1,0
PSE,Palestine,Asia,0,0,0,0,0,1,0
RWA,Rwanda,Africa,0,0,0,0,1,1,0
ESP,Spain,Europe,0,1,1,1,1,1,0
QAT,Qatar,Asia,0,0,0,0,0,1,0
GHA,Ghana,Africa,0,0,0,0,1,1,0
POL,Poland,Europe,0,1,1,0,1,1,0
HRV,Croatia,Europe,0,0,1,0,0,0,0
LTU,Lithuania,Europe,0,0,1,0,0,0,0
DOM,Dominican Republic,North America,0,0,1,0,0,0,0
FIN,Finland,Europe,1,0,1,0,1,0,0
BGR,Bulgaria,Europe,0,0,1,0,1,0,0
ITA,Italy,Europe,0,0,0,0,1,0,0
NOR,Norway,Europe,0,0,1,0,1,0,0
ISR,Israel,Asia,0,0,0,1,0,0,0
BIH,Bosnia and Herzegovina,Europe,0,0,1,1,0,0,0
MKD,North Macedonia,Europe,0,0,1,1,0,0,0
ZMB,Zambia,Africa,0,0,0,0,1,0,0
CHE,Switzerland,Europe,0,1,1,0,1,0,0
BFA,Burkina Faso,Africa,0,0,0,0,1,0,0
HUN,Hungary,Europe,1,0,1,0,1,0,0
MLI,Mali,Africa,0,0,0,0,1,0,0
MNE,Montenegro,Europe,0,0,1,1,0,0,0
FRA,France,Europe,0,0,0,0,1,0,0
ALB,Albania,Europe,0,0,1,1,0,0,0
MDA,Moldova,Europe,0,0,1,1,1,0,0
LVA,Latvia,Europe,0,0,1,0,0,0,0
UGA,Uganda,Africa,0,0,0,1,0,0,0
SLV,El Salvador,North America,0,0,1,0,0,0,0
SAU,Saudi Arabia,Asia,0,0,0,1,0,0,0
TZA,Tanzania,Africa,0,0,0,1,0,0,0
